
           1. volume errors                         : etime=00:00:00.0    ctime=00:00:00.1    rss=292.117 Mbyte     virtual=329.551 Mbyte     
           2. face errors                           : etime=00:00:00.0    ctime=00:00:00.1    rss=292.117 Mbyte     virtual=329.551 Mbyte     
     2. writing circuit results                     : etime=00:00:00.0    ctime=00:00:00.0    rss=292.277 Mbyte     virtual=329.551 Mbyte     
        1. simulated cti-file                       : etime=00:00:00.0    ctime=00:00:00.0    rss=292.117 Mbyte     virtual=329.551 Mbyte     
        2. simulated dataset for ADS                : etime=00:00:00.0    ctime=00:00:00.0    rss=292.117 Mbyte     virtual=329.551 Mbyte     
        3. simulated cti-file for ADS               : etime=00:00:00.0    ctime=00:00:00.0    rss=292.117 Mbyte     virtual=329.551 Mbyte     
        4. RLCK dataset                             : etime=00:00:00.0    ctime=00:00:00.0    rss=292.117 Mbyte     virtual=329.551 Mbyte     

  5. generating refinement points                   : etime=00:00:00.1    ctime=00:00:00.0    rss=292.676 Mbyte     virtual=329.707 Mbyte     

  1. setup                                          : etime=00:00:00.3    ctime=00:00:00.4    rss= 35.406 Mbyte     virtual= 24.117 Mbyte     
     1. loading mesh                                : etime=00:00:00.2    ctime=00:00:00.2    rss= 34.094 Mbyte     virtual= 23.820 Mbyte     
        1. reading ovm-file                         : etime=00:00:00.1    ctime=00:00:00.1    rss= 26.227 Mbyte     virtual= 16.234 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.094 Mbyte     virtual= 23.820 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.094 Mbyte     virtual= 23.820 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.094 Mbyte     virtual= 23.820 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 34.094 Mbyte     virtual= 23.820 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.094 Mbyte     virtual= 23.820 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 34.094 Mbyte     virtual= 23.820 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.094 Mbyte     virtual= 23.820 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.094 Mbyte     virtual= 23.820 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.094 Mbyte     virtual= 23.820 Mbyte     
     5. setup circuit components                    : etime=00:00:00.1    ctime=00:00:00.2    rss= 34.887 Mbyte     virtual= 23.988 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.1    ctime=00:00:00.2    rss= 34.887 Mbyte     virtual= 23.988 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.094 Mbyte     virtual= 23.820 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.574 Mbyte     virtual= 23.984 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.887 Mbyte     virtual= 23.988 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.887 Mbyte     virtual= 23.988 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 34.887 Mbyte     virtual= 23.988 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.3    ctime=00:00:00.4    rss= 72.293 Mbyte     virtual= 61.207 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 72.293 Mbyte     virtual= 61.207 Mbyte     

  4. Frequency 6 GHz                                : etime=00:00:04.1    ctime=00:00:07.1    rss=356.926 Mbyte     virtual=396.168 Mbyte     
     1. Frequency 6 GHz                             : etime=00:00:04.0    ctime=00:00:07.1    rss=356.543 Mbyte     virtual=396.168 Mbyte     
        1. constructing matrix                      : etime=00:00:00.7    ctime=00:00:01.4    rss= 73.973 Mbyte     virtual= 62.543 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 73.973 Mbyte     virtual= 62.543 Mbyte     
           2. 3d                                    : etime=00:00:00.5    ctime=00:00:01.3    rss= 73.973 Mbyte     virtual= 62.543 Mbyte     
