# Time(s) Real Imag
4.3500976563e-04 1.6043280611e-02 -8.7100608384e-04
4.3501790365e-04 -1.9027998622e-02 -1.0669209102e-03
4.3502604167e-04 -2.5156376804e-02 -1.6729053587e-03
4.3503417969e-04 7.1194382169e-03 6.7818750331e-03
4.3504231771e-04 -9.5980010048e-03 5.0524598023e-03
4.3505045573e-04 -3.6790515395e-03 3.6916984960e-04
4.3505859375e-04 1.8531824591e-02 1.4984196230e-03
4.3506673177e-04 4.9106953598e-03 -5.3378822710e-03
4.3507486979e-04 1.1461262826e-02 2.7717071237e-03
4.3508300781e-04 -8.1267551786e-03 7.8147730663e-03
4.3509114583e-04 -1.7769770265e-02 -1.7732978390e-02
4.3509928385e-04 1.7073966935e-02 -1.4782200716e-02
4.3510742188e-04 -3.3045772494e-04 2.2962148453e-03
4.3511555990e-04 -6.9172059054e-03 -8.7033651375e-03
4.3512369792e-04 5.7587141647e-03 -1.1086176404e-02
4.3513183594e-04 -1.9382909927e-02 -4.2869049825e-03
4.3513997396e-04 -6.6265557947e-03 5.2860101696e-03
4.3514811198e-04 1.6547885312e-02 1.1135891535e-02
4.3515625000e-04 8.1170189327e-03 -6.2356958114e-04
4.3516438802e-04 1.0374211672e-02 -8.1248429744e-03
4.3517252604e-04 9.5598057574e-03 -1.7930487275e-02
4.3518066406e-04 -2.0936138553e-03 -2.0503783492e-02
4.3518880208e-04 -4.4035442639e-03 3.5158120031e-03
4.3519694010e-04 3.8456073108e-03 1.6170900048e-02
4.3520507813e-04 5.7694625175e-03 8.0370423300e-03
4.3521321615e-04 -5.8595880613e-04 -2.8434275181e-03
4.3522135417e-04 4.9618709539e-04 -1.0315688865e-02
4.3522949219e-04 3.4205197581e-03 -3.5663428237e-03
4.3523763021e-04 -6.0490778277e-03 1.3573023589e-02
4.3524576823e-04 -2.3791025665e-02 1.0980394999e-02
4.3525390625e-04 -9.8812732784e-03 -1.7707607490e-02
4.3526204427e-04 1.9319315217e-02 -1.6142801719e-02
4.3527018229e-04 6.9072314567e-04 1.0172745074e-02
4.3527832031e-04 -1.7992155412e-02 3.9904944616e-03
4.3528645833e-04 -4.1789233820e-03 -1.6824343657e-03
4.3529459635e-04 -5.4131795284e-03 8.0124122717e-03
4.3530273438e-04 1.3732934772e-04 7.0010126020e-03
4.3531087240e-04 2.2259309296e-02 1.7282878317e-03
4.3531901042e-04 1.6029420186e-02 -7.8524992262e-03
4.3532714844e-04 3.7993714091e-03 4.1895651101e-04
4.3533528646e-04 5.4885253943e-03 1.0228022989e-02
4.3534342448e-04 -1.3646865736e-02 -7.5513721515e-03
4.3535156250e-04 -1.3445857155e-02 2.9404090212e-03
4.3535970052e-04 1.2895287657e-02 2.0017757653e-02
4.3536783854e-04 -6.4799136639e-03 -1.9707737242e-03
4.3537597656e-04 -1.4074383310e-02 -5.3375491690e-03
4.3538411458e-04 5.0947640939e-03 -1.7163980555e-03
4.3539225260e-04 -7.9462531891e-03 -1.0268501723e-02
4.3540039063e-04 1.6895100230e-04 6.5338844303e-03
4.3540852865e-04 5.5021662248e-03 2.9534159641e-03
4.3541666667e-04 -6.9108450058e-03 -1.2945192945e-02
4.3542480469e-04 6.7280857336e-03 8.2502411459e-03
4.3543294271e-04 -1.1339532496e-02 3.8181706691e-03
4.3544108073e-04 -2.1881347996e-02 -9.8453526540e-03
4.3544921875e-04 4.2506469964e-03 9.5200448733e-03
4.3545735677e-04 -6.0099374189e-05 5.3938858508e-03
4.3546549479e-04 3.4047742916e-04 1.1632666309e-03
4.3547363281e-04 8.0374653544e-03 1.3880984747e-03
4.3548177083e-04 2.3708319695e-03 -1.6821509388e-02
4.3548990885e-04 3.0864958499e-03 -3.0110682827e-04
4.3549804688e-04 2.6145096525e-03 5.5168353550e-03
4.3550618490e-04 1.0620794347e-02 -1.2144367788e-02
4.3551432292e-04 1.0061580158e-02 2.3236697988e-03
4.3552246094e-04 9.7902361479e-04 -3.3030465090e-03
4.3553059896e-04 -1.8077892320e-03 -8.9653770607e-03
4.3553873698e-04 -8.6582816463e-03 6.0612690686e-03
4.3554687500e-04 1.0928279624e-02 -1.0495265111e-02
4.3555501302e-04 2.1056576961e-02 -7.9980508281e-03
4.3556315104e-04 2.3893296338e-03 4.7272167525e-03
4.3557128906e-04 9.6042693254e-03 -1.2315007744e-02
4.3557942708e-04 8.1166384669e-03 -2.6441202341e-03
4.3558756510e-04 -1.6249342383e-03 1.7852923816e-02
4.3559570313e-04 5.4156123782e-03 1.7990774288e-02
4.3560384115e-04 -1.9646286656e-03 1.6200731323e-02
4.3561197917e-04 -1.2482103276e-03 1.2953760070e-02
4.3562011719e-04 3.7559470088e-03 2.0947367953e-02
4.3562825521e-04 2.0532513336e-03 2.7451687437e-02
4.3563639323e-04 1.3523000726e-02 9.6019611035e-03
4.3564453125e-04 1.0874263060e-02 -3.6084494306e-03
4.3565266927e-04 5.5703758449e-03 3.4933631854e-03
4.3566080729e-04 -2.7521562239e-04 3.1459043401e-03
4.3566894531e-04 -1.9942313113e-02 -4.3185362922e-03
4.3567708333e-04 5.9896149508e-04 9.7495488177e-03
4.3568522135e-04 1.7143704207e-02 1.9861405795e-02
4.3569335938e-04 -5.8642715241e-03 5.0968042879e-03
4.3570149740e-04 1.1583095934e-02 1.4344205554e-03
4.3570963542e-04 1.5741531980e-02 1.7363744897e-03
4.3571777344e-04 -1.6574780888e-02 -7.9845723391e-03
4.3572591146e-04 2.7406639711e-03 -4.3395989777e-03
4.3573404948e-04 9.2943469826e-03 6.1086237388e-04
4.3574218750e-04 -6.3834487776e-03 3.2548587532e-03
4.3575032552e-04 1.5253636816e-02 1.3357131898e-02
4.3575846354e-04 1.9383267607e-03 4.3334601532e-03
4.3576660156e-04 -1.7901717629e-02 -1.4374310963e-02
4.3577473958e-04 3.0405531235e-03 -9.8329363243e-03
4.3578287760e-04 -1.5474880615e-03 1.6502678636e-03
4.3579101563e-04 -8.5879298983e-03 4.9343577190e-04
4.3579915365e-04 -1.2410220747e-03 -6.1917748229e-03
4.3580729167e-04 -7.9339022182e-03 -2.3033867708e-03
4.3581542969e-04 -8.3889472448e-03 1.2444044827e-02
4.3582356771e-04 -9.7831168265e-03 1.0473083796e-02
4.3583170573e-04 -9.6862245067e-03 -4.3895847816e-03
4.3583984375e-04 -1.9647170830e-03 -3.1802685821e-03
4.3584798177e-04 -8.4124922196e-03 3.7037870115e-03
4.3585611979e-04 -7.4763276324e-03 2.1642907640e-03
4.3586425781e-04 4.1698349004e-03 -5.9314845836e-04
4.3587239583e-04 5.3276816807e-04 -7.0904158260e-03
4.3588053385e-04 -7.0007383454e-03 -1.3132780780e-02
4.3588867188e-04 -1.3552319474e-02 -1.0057736870e-03
4.3589680990e-04 -1.4832821551e-02 7.3715068217e-03
4.3590494792e-04 -1.5383279061e-03 -9.8354185249e-03
4.3591308594e-04 3.9590939147e-03 -6.4355268161e-03
4.3592122396e-04 1.6090714393e-03 1.6386294689e-02
4.3592936198e-04 -1.4535608442e-03 7.2893060236e-03
4.3593750000e-04 -9.3633022878e-03 -5.6290327688e-03
4.3594563802e-04 3.2715759210e-03 -1.4862011959e-03
4.3595377604e-04 6.0144104172e-03 -3.2450098574e-03
4.3596191406e-04 -1.2445455201e-02 -4.3012647015e-03
4.3597005208e-04 1.1590159088e-02 4.0448922113e-03
4.3597819010e-04 2.3388914825e-02 1.4884313437e-02
4.3598632813e-04 -7.0364954204e-03 7.5477928851e-03
4.3599446615e-04 -1.6060527662e-03 -7.1024144367e-03
4.3600260417e-04 8.1799552945e-03 -4.2955002670e-03
4.3601074219e-04 2.4315009950e-03 -1.7627680577e-03
4.3601888021e-04 9.3130505951e-03 5.6587591433e-03
4.3602701823e-04 2.4327291267e-03 7.2025429945e-03
4.3603515625e-04 9.9572265412e-04 -1.4795332308e-02
4.3604329427e-04 5.8592123157e-03 -1.4461662192e-02
4.3605143229e-04 -9.1904493237e-03 2.6383434870e-03
4.3605957031e-04 -1.0403599127e-02 5.0442108231e-03
4.3606770833e-04 3.1301235336e-03 2.4252510042e-03
4.3607584635e-04 3.2080884947e-03 6.9191747795e-04
4.3608398438e-04 -4.1112770848e-03 1.1147342282e-02
4.3609212240e-04 -5.9364406215e-03 1.6236790996e-02
4.3610026042e-04 -7.0641576143e-03 1.1010231443e-02
4.3610839844e-04 -1.1827752024e-02 1.6828936792e-02
4.3611653646e-04 -8.4180932962e-03 1.2515444727e-02
4.3612467448e-04 -1.0330785204e-02 4.3819499561e-03
4.3613281250e-04 -2.0699616972e-02 7.8436706778e-03
4.3614095052e-04 -5.7772074644e-03 4.7520867249e-04
4.3614908854e-04 1.5277694102e-02 -1.1130659563e-02
4.3615722656e-04 1.0889514597e-02 -7.9771479021e-03
4.3616536458e-04 1.9345034009e-03 1.1107327809e-03
4.3617350260e-04 -4.2010976311e-03 7.9151490589e-03
4.3618164063e-04 -2.3004222654e-03 2.0502852320e-02
4.3618977865e-04 7.9773418385e-03 1.2123130125e-02
4.3619791667e-04 -9.5900472946e-03 -1.3644667366e-02
4.3620605469e-04 -2.1231365967e-02 2.9495408779e-03
4.3621419271e-04 4.0704141257e-03 1.3956241883e-02
4.3622233073e-04 3.4811578575e-03 -5.5331000492e-03
4.3623046875e-04 -1.1589297353e-03 7.4546043639e-03
4.3623860677e-04 1.1607014041e-02 9.8656342349e-03
4.3624674479e-04 -4.4131134866e-03 1.1334388365e-03
4.3625488281e-04 -9.8591171218e-04 1.7353139713e-02
4.3626302083e-04 8.5281774235e-03 5.6740617465e-03
4.3627115885e-04 -1.6131936612e-02 2.3709257663e-03
4.3627929688e-04 -6.7312537160e-03 2.2221442700e-02
4.3628743490e-04 9.8107445236e-03 2.5100794603e-03
4.3629557292e-04 -6.9911380834e-05 -7.6349511704e-03
4.3630371094e-04 3.4099815193e-03 6.2843333211e-03
4.3631184896e-04 4.0167117979e-03 3.2350449134e-03
4.3631998698e-04 3.4855887703e-03 1.6810753880e-02
4.3632812500e-04 6.8750575170e-03 2.5269909686e-02
4.3633626302e-04 1.3215366968e-03 1.4996018490e-03
4.3634440104e-04 -1.1280984034e-03 -4.3179970433e-03
4.3635253906e-04 3.3224527320e-03 -3.6120438092e-03
4.3636067708e-04 1.2389455514e-02 -9.0362704441e-03
4.3636881510e-04 6.8331686262e-04 1.3903165976e-03
4.3637695313e-04 -1.5554543123e-02 8.8737825209e-04
4.3638509115e-04 -2.5148410319e-03 -1.6024917190e-03
4.3639322917e-04 -5.0421382244e-04 7.6390648347e-03
4.3640136719e-04 -7.2843654927e-04 1.0331058298e-02
4.3640950521e-04 8.4970585935e-03 1.3143754082e-02
4.3641764323e-04 -3.8082749773e-03 -3.1805015639e-03
4.3642578125e-04 -1.2441125727e-03 -1.8108509523e-02
4.3643391927e-04 5.3112564502e-03 7.5749607824e-03
4.3644205729e-04 -9.2992158548e-03 1.9428596013e-02
4.3645019531e-04 4.4545200937e-03 -6.0549525835e-03
4.3645833333e-04 2.0783376002e-02 -1.6013051820e-02
4.3646647135e-04 1.2069058346e-03 1.0674281132e-02
4.3647460938e-04 -1.4143884468e-02 1.7251911472e-02
4.3648274740e-04 -6.2296982842e-03 -1.1446155809e-02
4.3649088542e-04 9.5939201698e-03 -6.0358825234e-03
4.3649902344e-04 6.5062404619e-03 9.2144473975e-03
4.3650716146e-04 -1.0043602691e-02 1.0275742730e-03
4.3651529948e-04 -5.9476149357e-03 -9.8990791342e-04
4.3652343750e-04 3.3958479216e-03 -8.4277597596e-03
4.3653157552e-04 7.6272227257e-03 -1.1696561964e-03
4.3653971354e-04 8.4340401177e-03 2.9368427451e-03
4.3654785156e-04 -5.0808521210e-03 -1.9849502428e-02
4.3655598958e-04 2.3126188733e-03 -6.3938354632e-03
